scheme_name,amc_name,fund_manager,min_sip,min_lumpsum,expense_ratio,fund_size,fund_age,category,sub_category,rating,effective_return,sharpe,sortino,risk_level_score,risk_level,fund_score
HSBC Equity Hybrid Fund,HSBC Mutual Fund,Neelotpal Sahai,500,5000,1.0,474.0,4,Hybrid,Aggressive Hybrid Mutual Funds,3,13.3,1.26,2.41,6,High,0.31708353783336013
HSBC Equity Savings Fund,HSBC Mutual Fund,Ritesh Jain,500,5000,0.62,150.0,10,Hybrid,Equity Savings Mutual Funds,2,7.5,1.86,4.47,3,Medium,0.3223225537245953
HSBC Flexi Cap Fund,HSBC Mutual Fund,Vihang Naik,500,5000,1.23,3097.0,10,Equity,Flexi Cap Funds,2,9.2,1.38,2.92,6,High,0.30386467766297404
HSBC Flexi Debt Fund,HSBC Mutual Fund,Ritesh Jain,500,5000,0.94,54.0,10,Debt,Dynamic Bond,2,13.3,0.39,0.44,3,Medium,0.2645059718532782
HSBC Gilt Fund,HSBC Mutual Fund,Jalpan Shah,500,5000,0.48,231.0,10,Debt,Gilt Mutual Funds,3,7.1,0.41,0.49,3,Medium,0.28860578926107006
HSBC Infrastructure Fund,HSBC Mutual Fund,Venugopal Manghat,500,5000,1.14,1476.0,10,Equity,Sectoral / Thematic Mutual Funds,2,9.3,1.78,3.69,6,High,0.32168368497314537
HSBC Large & Mid Cap Fund,HSBC Mutual Fund,Neelotpal Sahai,500,5000,1.08,1992.0,4,Equity,Large & Mid Cap Funds,2,25.6,1.4,3.02,6,High,0.35656849521525624
HSBC Large Cap Fund,HSBC Mutual Fund,Neelotpal Sahai,500,5000,1.26,1405.0,10,Equity,Large Cap Mutual Funds,2,10.6,1.18,2.6,6,High,0.2974375196154345
HSBC Liquid Fund,HSBC Mutual Fund,Kapil Punjabi,500,5000,0.12,12043.0,10,Debt,Liquid Mutual Funds,3,5.3,0.91,4.42,2,Low,0.3517921434892382
HSBC Low Duration Fund,HSBC Mutual Fund,Shriram Ramanathan,500,5000,0.25,467.0,10,Debt,Low Duration Funds,3,5.8,0.58,0.63,2,Low,0.2975280190924707
HSBC Managed Solutions Conservative Fund,HSBC Mutual Fund,Gautam Bhupal,500,5000,0.54,34.0,9,Other,FoFs Domestic,2,5.9,0.55,0.86,3,Medium,0.23195642825513302
HSBC Managed Solutions Growth Fund,HSBC Mutual Fund,Gautam Bhupal,500,5000,1.06,34.0,9,Other,FoFs Domestic,2,9.2,1.4,3.05,6,High,0.2806839970187645
HSBC Managed Solutions Moderate Fund,HSBC Mutual Fund,Gautam Bhupal,500,5000,0.76,58.0,9,Other,FoFs Domestic,2,8.7,1.31,2.81,5,High,0.2826476479207163
HSBC Medium Duration Fund,HSBC Mutual Fund,Shriram Ramanathan,500,5000,0.4,643.0,8,Debt,Medium Duration Funds,3,6.7,0.76,0.84,3,Medium,0.2953312527296168
HSBC Medium to Long Duration Fund,HSBC Mutual Fund,Jalpan Shah,500,5000,0.68,41.0,10,Debt,Medium to Long Duration Funds,1,6.5,0.09,0.11,3,Medium,0.17849086186452778
HSBC Midcap Fund,HSBC Mutual Fund,Vihang Naik,500,5000,0.74,6980.0,10,Equity,Mid Cap Mutual Funds,2,8.8,1.53,3.33,6,High,0.32404645161303713
HSBC Money Market Fund,HSBC Mutual Fund,Shriram Ramanathan,500,5000,0.25,716.0,10,Debt,Money Market Funds,1,6.0,1.12,2.45,2,Low,0.25168860490947315
HSBC Overnight Fund,HSBC Mutual Fund,Kapil Punjabi,500,5000,0.1,2759.0,4,Debt,Overnight Mutual Funds,5,3.9,0.16,0.92,1,Low,0.32946044634613875
HSBC Short Duration Fund,HSBC Mutual Fund,Shriram Ramanathan,500,5000,0.27,3592.0,10,Debt,Short Duration Funds,2,6.7,0.78,1.18,2,Low,0.2815918884168001
HSBC Small Cap Fund,HSBC Mutual Fund,Venugopal Manghat,500,5000,0.77,8625.0,9,Equity,Small Cap Mutual Funds,3,12.7,2.08,4.16,6,High,0.4027852540408453
HSBC Tax Saver Equity Fund,HSBC Mutual Fund,Gautam Bhupal,500,5000,1.3,175.0,10,Equity,ELSS Mutual Funds,2,8.9,1.26,3.05,6,High,0.2828148559212931
HSBC Ultra Short Duration Fund,HSBC Mutual Fund,Mahesh A Chhabria,500,5000,0.22,2279.0,3,Debt,Ultra Short Duration Funds,3,5.1,1.69,3.5,2,Low,0.31675502625731616
HSBC Value Fund,HSBC Mutual Fund,Venugopal Manghat,500,5000,0.84,7781.0,10,Equity,Value Funds,3,11.6,1.69,3.18,6,High,0.3812272545432763
ICICI Pru All Seasons Bond Fund,ICICI Prudential Mutual Fund,Manish Banthia,100,5000,0.62,6754.0,10,Debt,Dynamic Bond,5,8.2,1.38,2.39,3,Medium,0.4359836392821748
ICICI Pru Asset Allocator Fund,ICICI Prudential Mutual Fund,Dharmesh Kakkad,1000,5000,0.18,18393.0,10,Other,FoFs Domestic,4,12.8,1.99,5.89,4,Medium,0.4775515513484573
ICICI Pru Balanced Advantage Fund,ICICI Prudential Mutual Fund,Sankaran Naren,100,500,0.91,44515.0,10,Hybrid,Dynamic Asset Allocation or Balanced Advantage,4,10.4,1.84,5.59,5,High,0.447972512579209
ICICI Pru Banking & Financial Services – DirectGrowth,ICICI Prudential Mutual Fund,Roshan Chutkey,100,5000,1.1,5871.0,10,Equity,Sectoral / Thematic Mutual Funds,3,9.7,1.06,2.23,6,High,0.33373485087854315
ICICI Pru Banking & PSU Debt Fund,ICICI Prudential Mutual Fund,Rahul Goswami,100,500,0.38,7265.0,10,Debt,Banking and PSU Mutual Funds,5,7.2,1.37,2.64,2,Low,0.43709267120186124
ICICI Pru BHARAT 22 FOF  – Direct Growth,ICICI Prudential Mutual Fund,Kayzad Eghlim,1000,5000,0.08,89.0,5,Other,FoFs Domestic,5,35.0,1.47,2.76,6,High,0.5355967325384919
ICICI Pru Bharat Consumption Fund,ICICI Prudential Mutual Fund,Sankaran Naren,100,5000,1.54,1866.0,4,Equity,Sectoral / Thematic Mutual Funds,3,22.7,1.6,3.37,6,High,0.38290464524971135
ICICI Pru Bluechip Fund,ICICI Prudential Mutual Fund,Anish Tawakley,100,100,1.06,34198.0,10,Equity,Large Cap Mutual Funds,4,12.3,1.53,3.59,6,High,0.426392018971517
ICICI Pru Bond Fund,ICICI Prudential Mutual Fund,Manish Banthia,100,5000,0.6,2223.0,10,Debt,Medium to Long Duration Funds,3,7.3,0.72,1.2,3,Medium,0.31440267501573255
ICICI Pru Child Care Fund,ICICI Prudential Mutual Fund,Manish Banthia,100,5000,1.69,844.0,10,Solution Oriented,Childrens Funds,3,8.8,1.42,2.86,6,High,0.3292110935327737
ICICI Pru Corporate Bond Fund,ICICI Prudential Mutual Fund,Rahul Goswami,100,100,0.3,16998.0,10,Debt,Corporate Bond Mutual Funds,5,7.3,1.52,3.07,2,Low,0.4520380954888022
ICICI Pru Credit Risk Fund,ICICI Prudential Mutual Fund,Manish Banthia,100,100,0.86,7584.0,10,Debt,Credit Risk Funds,4,8.1,2.15,3.18,4,Medium,0.42408726132244423
ICICI Pru Debt Management Fund,ICICI Prudential Mutual Fund,Manish Banthia,100,100,0.41,141.0,10,Other,FoFs Domestic,4,7.0,1.38,3.01,3,Medium,0.37857158793923085
ICICI Pru Dividend Yield Equity Fund,ICICI Prudential Mutual Fund,Mittul Kalawadia,100,5000,0.66,1258.0,9,Equity,Dividend Yield Funds,0,12.1,1.94,5.06,6,High,0.27421542506310714
ICICI Pru Equity & Debt Fund,ICICI Prudential Mutual Fund,Sankaran Naren,100,5000,1.2,21232.0,10,Hybrid,Aggressive Hybrid Mutual Funds,5,14.3,1.75,4.15,6,High,0.48389118855033897
ICICI Pru Equity – Arbitrage Fund,ICICI Prudential Mutual Fund,Kayzad Eghlim,1000,5000,0.39,11272.0,10,Hybrid,Arbitrage Mutual Funds,3,5.5,0.99,1.27,1,Low,0.32804358792987465
ICICI Pru Equity Savings Fund,ICICI Prudential Mutual Fund,Kayzad Eghlim,100,5000,0.54,4936.0,8,Hybrid,Equity Savings Mutual Funds,3,7.9,1.84,5.26,2,Low,0.37694469461720986
ICICI Pru Exports and Services Fund,ICICI Prudential Mutual Fund,Sankaran Naren,1000,5000,1.76,1040.0,10,Equity,Sectoral / Thematic Mutual Funds,0,11.4,1.78,4.35,6,High,0.24456901293918457
ICICI Pru Floating Interest Fund,ICICI Prudential Mutual Fund,Rahul Goswami,100,500,0.62,11650.0,10,Debt,Floater Mutual Funds,2,7.2,1.46,2.75,2,Low,0.31915209471585965
ICICI Pru FMCG Fund,ICICI Prudential Mutual Fund,Priyanka Khandelwal,100,5000,1.44,1156.0,10,Equity,Sectoral / Thematic Mutual Funds,0,13.5,1.61,3.73,6,High,0.25349504917623344
ICICI Pru Focused Equity Fund,ICICI Prudential Mutual Fund,Sankaran Naren,100,5000,0.59,3920.0,10,Equity,Focused Funds,4,13.4,1.62,3.27,6,High,0.4308916041516409
ICICI Pru Gilt Fund,ICICI Prudential Mutual Fund,Rahul Goswami,1000,5000,0.56,2692.0,10,Debt,Gilt Mutual Funds,5,8.4,0.82,1.22,3,Medium,0.40576527834868376
ICICI Pru Global Stable Equity Fund,ICICI Prudential Mutual Fund,Rohan Maru,1000,5000,1.26,111.0,10,Other,FoFs Overseas,0,10.3,0.9,1.69,6,High,0.18799839502984267
ICICI Pru Income Optimizer Fund,ICICI Prudential Mutual Fund,Dharmesh Kakkad,1000,5000,0.26,272.0,10,Other,FoFs Domestic,5,8.8,2.37,5.43,3,Medium,0.484742041591634
ICICI Pru India Equity FOF – Direct Growth,ICICI Prudential Mutual Fund,Dharmesh Kakkad,100,500,0.88,62.0,3,Other,FoFs Domestic,5,32.2,1.71,3.95,6,High,0.5092020308993344
ICICI Pru India Opportunities Fund,ICICI Prudential Mutual Fund,Sankaran Naren,100,5000,0.73,7644.0,4,Equity,Sectoral / Thematic Mutual Funds,0,44.7,1.67,3.51,6,High,0.40386106691124796
ICICI Pru Infrastructure Fund,ICICI Prudential Mutual Fund,Ihab Dalwai,100,5000,1.64,2269.0,10,Equity,Sectoral / Thematic Mutual Funds,5,15.1,1.83,4.04,6,High,0.467977695167058
ICICI Pru Large & Mid Cap Fund,ICICI Prudential Mutual Fund,Ihab Dalwai,100,5000,1.09,7044.0,10,Equity,Large & Mid Cap Funds,4,13.7,1.68,3.99,6,High,0.43246893730154645
ICICI Pru Liquid Fund,ICICI Prudential Mutual Fund,Rahul Goswami,99,99,0.2,47245.0,10,Debt,Liquid Mutual Funds,2,5.3,0.94,4.39,3,Medium,0.31809089551969916
ICICI Pru Long Term Equity Fund,ICICI Prudential Mutual Fund,Harish Bihani,500,500,1.23,9819.0,10,Equity,ELSS Mutual Funds,3,11.5,0.04,0.06,6,High,0.2983976139146927
ICICI Pru Long Term Wealth Enhancement Fund,ICICI Prudential Mutual Fund,Rajat Chandak,0,500,0.97,32.0,5,Equity,ELSS Mutual Funds,0,11.3,1.39,3.33,6,High,0.18862148071166907
ICICI Pru Manufacturing Fund,ICICI Prudential Mutual Fund,Anish Tawakley,100,5000,1.7,645.0,4,Equity,Sectoral / Thematic Mutual Funds,0,35.6,1.71,3.44,6,High,0.32548694533852873
ICICI Pru Medium Term Bond Fund,ICICI Prudential Mutual Fund,Manish Banthia,1000,5000,0.77,6305.0,10,Debt,Medium Duration Funds,4,7.6,1.29,1.69,4,Medium,0.38166653351414814
ICICI Pru MidCap Fund,ICICI Prudential Mutual Fund,Lalit Kumar,100,5000,1.16,3492.0,10,Equity,Mid Cap Mutual Funds,3,11.1,1.62,3.32,6,High,0.3665179379651139
ICICI Pru Money Market Fund,ICICI Prudential Mutual Fund,Rahul Goswami,100,500,0.21,11475.0,10,Debt,Money Market Funds,3,6.1,1.72,4.38,3,Medium,0.38144639721608037
ICICI Pru Multi-Asset Fund,ICICI Prudential Mutual Fund,Sankaran Naren,100,5000,1.15,16449.0,10,Hybrid,Multi Asset Allocation Mutual Funds,4,14.2,1.85,3.99,6,High,0.4455938178876318
ICICI Pru Multicap Fund,ICICI Prudential Mutual Fund,Sankaran Naren,100,5000,1.02,6929.0,10,Equity,Multi Cap Funds,0,11.8,1.49,3.31,6,High,0.2523201410502158
ICICI Pru Nifty 50 Index Fund,ICICI Prudential Mutual Fund,Kayzad Eghlim,100,100,0.17,3977.0,10,Other,Index Funds,3,11.9,1.3,3.46,6,High,0.38085791807399044
ICICI Pru Nifty Next 50 Index Fund,ICICI Prudential Mutual Fund,Kayzad Eghlim,100,100,0.3,2415.0,10,Other,Index Funds,1,6.1,0.97,1.7,6,High,0.24048417185233473
ICICI Pru Overnight Fund,ICICI Prudential Mutual Fund,Rahul Goswami,500,100,0.1,12837.0,4,Debt,Overnight Mutual Funds,3,3.9,-0.05,-0.25,1,Low,0.24194628714257124
ICICI Pru P.H.D Fund,ICICI Prudential Mutual Fund,Dharmesh Kakkad,100,5000,1.22,2538.0,5,Equity,Sectoral / Thematic Mutual Funds,0,25.0,1.03,2.68,6,High,0.2609239604244391
ICICI Pru Passive Strategy Fund,ICICI Prudential Mutual Fund,Dharmesh Kakkad,1000,5000,0.06,93.0,10,Other,FoFs Domestic,3,10.9,1.46,3.11,6,High,0.36231472501706846
ICICI Pru Regular Gold Savings Fund,ICICI Prudential Mutual Fund,Manish Banthia,100,100,0.09,671.0,10,Other,FoFs Domestic,3,13.1,0.49,1.1,5,High,0.33634499061741024
ICICI Pru Regular Savings Fund,ICICI Prudential Mutual Fund,Manish Banthia,100,5000,0.99,3212.0,10,Hybrid,Conservative Hybrid Mutual Funds,5,9.0,2.0,3.57,4,Medium,0.45878281791501835
ICICI Pru Retirement Fund,ICICI Prudential Mutual Fund,Lalit Kumar,100,5000,1.22,209.0,4,Solution Oriented,Retirement Funds,5,31.3,1.44,2.78,6,High,0.49421344998693073
ICICI Pru Retirement Fund,ICICI Prudential Mutual Fund,Lalit Kumar,100,5000,1.12,152.0,4,Solution Oriented,Retirement Funds,3,13.3,1.26,2.43,6,High,0.3122074491901278
ICICI Pru Retirement Fund,ICICI Prudential Mutual Fund,Lalit Kumar,100,5000,1.0,59.0,4,Solution Oriented,Retirement Funds,3,9.9,1.04,2.16,4,Medium,0.282667091182225
ICICI Pru Retirement Fund,ICICI Prudential Mutual Fund,Manish Banthia,100,5000,1.29,175.0,4,Solution Oriented,Retirement Funds,3,6.8,1.71,3.51,3,Medium,0.2936419729654109
ICICI Pru S&P BSE Sensex Index Fund,ICICI Prudential Mutual Fund,Kayzad Eghlim,100,100,0.16,694.0,6,Other,Index Funds,4,12.9,1.27,3.24,6,High,0.3898191917690066
ICICI Pru Savings Fund,ICICI Prudential Mutual Fund,Rahul Goswami,100,100,0.4,21144.0,10,Debt,Low Duration Funds,2,6.7,1.41,2.65,2,Low,0.32131925758475294
ICICI Pru Short Term Fund,ICICI Prudential Mutual Fund,Manish Banthia,1000,5000,0.39,14561.0,10,Debt,Short Duration Funds,4,7.7,1.75,3.78,3,Medium,0.42414414959127883
ICICI Pru Smallcap Fund,ICICI Prudential Mutual Fund,Harish Bihani,100,5000,0.81,4618.0,10,Equity,Small Cap Mutual Funds,3,14.9,1.94,4.72,6,High,0.41574972070245664
ICICI Pru Technology Fund,ICICI Prudential Mutual Fund,Vaibhav Dusad,100,5000,0.99,8993.0,10,Equity,Sectoral / Thematic Mutual Funds,0,21.6,1.48,2.41,6,High,0.2976609393637072
ICICI Pru Thematic Advantage Fund,ICICI Prudential Mutual Fund,Dharmesh Kakkad,1000,5000,0.25,958.0,10,Other,FoFs Domestic,0,14.6,1.63,4.13,6,High,0.2820344520580561
ICICI Pru Ultra Short Term Fund,ICICI Prudential Mutual Fund,Manish Banthia,1000,5000,0.39,12447.0,10,Debt,Ultra Short Duration Funds,4,6.7,2.4,4.76,3,Medium,0.44813862121745623
ICICI Pru US Bluechip Equity Fund,ICICI Prudential Mutual Fund,Rohan Maru,100,5000,1.22,2365.0,10,Equity,Sectoral / Thematic Mutual Funds,0,15.9,0.88,1.69,6,High,0.23167966752685248
ICICI Pru Value Discovery Fund,ICICI Prudential Mutual Fund,Sankaran Naren,100,1000,1.22,27449.0,10,Equity,Value Funds,4,14.9,2.04,4.4,6,High,0.4596965959510758
IDBI Banking & Financial Services Fund,IDBI Mutual Fund,Alok Ranjan,500,5000,1.5,81.0,5,Equity,Sectoral / Thematic Mutual Funds,2,20.3,0.88,1.99,6,High,0.2821266060301231
IDBI Credit Risk Fund,IDBI Mutual Fund,Raju Sharma,500,5000,0.61,22.0,9,Debt,Credit Risk Funds,3,3.7,1.03,3.09,4,Medium,0.28969247415386523
IDBI Dividend Yield Fund,IDBI Mutual Fund,Alok Ranjan,500,5000,1.5,85.0,4,Equity,Dividend Yield Funds,0,25.2,1.43,2.79,6,High,0.25026354312884186
IDBI Equity Advantage Fund,IDBI Mutual Fund,Alok Ranjan,500,500,1.21,455.0,10,Equity,ELSS Mutual Funds,2,11.3,1.15,2.4,6,High,0.2948214855849163
IDBI Equity Savings Fund,IDBI Mutual Fund,Alok Ranjan,500,5000,1.15,9.77,10,Hybrid,Equity Savings Mutual Funds,2,7.2,1.11,2.48,4,Medium,0.25667017450482854
IDBI Focused 30 Equity Fund,IDBI Mutual Fund,Alok Ranjan,500,5000,1.61,125.0,5,Equity,Focused Funds,3,10.2,1.29,3.11,6,High,0.2925000306167711
IDBI Gold Fund,IDBI Mutual Fund,Nitin Dattaram Dalvi,500,5000,0.26,42.0,10,Other,FoFs Domestic,3,12.9,0.42,0.82,5,High,0.31250751877880245
IDBI Healthcare Fund,IDBI Mutual Fund,Alok Ranjan,500,5000,1.24,49.0,4,Equity,Sectoral / Thematic Mutual Funds,0,17.1,0.71,1.57,6,High,0.17314194914953046
IDBI Hybrid Equity Fund,IDBI Mutual Fund,Alok Ranjan,500,5000,1.67,171.0,6,Hybrid,Aggressive Hybrid Mutual Funds,2,7.0,1.18,2.66,6,High,0.23695231947103398
IDBI India Top 100 Equity Fund,IDBI Mutual Fund,Alok Ranjan,500,5000,1.26,599.0,10,Equity,Large Cap Mutual Funds,4,12.4,1.36,2.94,6,High,0.3916468741088514
IDBI Liquid Fund,IDBI Mutual Fund,Raju Sharma,500,5000,0.13,763.0,10,Debt,Liquid Mutual Funds,4,5.4,1.19,5.73,2,Low,0.3968011753033074
IDBI Long Term Value Fund,IDBI Mutual Fund,Alok Ranjan,500,5000,1.67,92.0,5,Equity,Value Funds,2,25.4,1.36,2.89,6,High,0.33205142603090465
IDBI Midcap Fund,IDBI Mutual Fund,Alok Ranjan,500,5000,1.62,176.0,6,Equity,Mid Cap Mutual Funds,1,7.7,1.27,2.57,6,High,0.2017389456492128
IDBI Nifty 50 Index Fund,IDBI Mutual Fund,Nisha Sharma,500,5000,0.32,188.0,10,Other,Index Funds,3,11.8,1.29,3.47,6,High,0.36150689421383436
IDBI Nifty Next 50 Index Fund,IDBI Mutual Fund,Nisha Sharma,500,5000,0.32,49.0,10,Other,Index Funds,1,6.2,0.96,1.71,6,High,0.2204704835281693
IDBI Short Term Bond Fund,IDBI Mutual Fund,Raju Sharma,500,5000,0.28,29.0,10,Debt,Short Duration Funds,4,6.9,0.92,3.22,2,Low,0.3574020466843128
IDBI Small Cap Fund,IDBI Mutual Fund,Alok Ranjan,500,5000,1.54,143.0,6,Equity,Small Cap Mutual Funds,3,12.6,1.95,4.09,6,High,0.34331203333020716
IDBI Ultra Short Term Fund,IDBI Mutual Fund,Raju Sharma,500,5000,0.25,198.0,10,Debt,Ultra Short Duration Funds,3,5.9,1.29,1.68,2,Low,0.3256538725500606
IIFL Dynamic Bond Fund,IIFL Mutual Fund,Milan Mody,1000,10000,0.27,494.0,10,Debt,Dynamic Bond,4,6.5,0.96,1.63,3,Medium,0.3607313223197094
IIFL Focused Equity Fund,IIFL Mutual Fund,Mayur Patel,1000,1000,0.9,3416.0,8,Equity,Focused Funds,5,18.1,1.56,3.39,6,High,0.4755368413689052
IIFL Liquid Fund,IIFL Mutual Fund,Milan Mody,1000,5000,0.2,601.0,9,Debt,Liquid Mutual Funds,2,4.8,0.04,0.19,3,Medium,0.22642334397744632
Indiabulls Arbitrage Fund,Indiabulls Mutual Fund,Sumit Bhatnagar,1000,500,0.58,14.0,8,Hybrid,Arbitrage Mutual Funds,2,4.5,-0.82,-1.04,1,Low,0.15390593903052516
Indiabulls Bluechip Fund,Indiabulls Mutual Fund,Sumit Bhatnagar,500,500,1.27,91.0,10,Equity,Large Cap Mutual Funds,2,9.5,1.1,2.23,6,High,0.27216059806985843
Indiabulls Dynamic Bond Fund,Indiabulls Mutual Fund,Karan Singh,500,500,0.36,25.0,4,Debt,Dynamic Bond,3,5.2,0.58,0.99,3,Medium,0.2415867868827994
Indiabulls Equity Hybrid Fund,Indiabulls Mutual Fund,Sumit Bhatnagar,500,500,1.55,32.0,4,Hybrid,Aggressive Hybrid Mutual Funds,3,20.5,1.29,2.77,5,High,0.3347522837841517
Indiabulls Liquid Fund,Indiabulls Mutual Fund,Karan Singh,500,500,0.22,212.0,10,Debt,Liquid Mutual Funds,1,5.2,0.28,1.28,2,Low,0.20501010732512057
Indiabulls Overnight Fund,Indiabulls Mutual Fund,Karan Singh,500,500,0.18,42.0,4,Debt,Overnight Mutual Funds,1,3.8,-0.36,-1.77,1,Low,0.1093011373534706
Indiabulls Short Term Fund,Indiabulls Mutual Fund,Karan Singh,500,500,0.38,25.0,10,Debt,Short Duration Funds,2,5.9,0.7,1.15,3,Medium,0.24684225070592442
Indiabulls Tax Savings Fund,Indiabulls Mutual Fund,Sumit Bhatnagar,500,500,0.5,36.0,5,Equity,ELSS Mutual Funds,2,7.8,1.21,2.52,6,High,0.24826721776955282
Indiabulls Value Fund,Indiabulls Mutual Fund,Sumit Bhatnagar,500,500,0.5,9.71,8,Equity,Value Funds,2,6.3,1.27,2.9,6,High,0.25685956254018344
Invesco India – Invesco GEI Fund,Invesco Mutual Fund,Amit Nigam,500,1000,0.73,12.0,9,Other,FoFs Overseas,0,9.5,1.01,1.58,6,High,0.1780943963751414
Invesco India Arbitrage Fund,Invesco Mutual Fund,Deepak Gupta,500,1000,0.38,3184.0,10,Hybrid,Arbitrage Mutual Funds,5,5.6,1.5,2.16,1,Low,0.42618304073686164
Invesco India Banking & PSU Debt Fund,Invesco Mutual Fund,Vikas Garg,1000,1000,0.28,131.0,10,Debt,Banking and PSU Mutual Funds,1,6.4,0.25,0.33,3,Medium,0.19780825247911799
Invesco India Contra Fund,Invesco Mutual Fund,Taher Badshah,500,1000,0.62,9347.0,10,Equity,Contra Funds,4,12.3,1.45,3.5,6,High,0.42441845939333045
Invesco India Corporate Bond Fund,Invesco Mutual Fund,Vikas Garg,100,1000,0.28,2065.0,10,Debt,Corporate Bond Mutual Funds,3,6.9,0.91,1.56,2,Low,0.3277705229784897
Invesco India Credit Risk Fund,Invesco Mutual Fund,Vikas Garg,1000,1000,0.28,129.0,9,Debt,Credit Risk Funds,2,3.5,0.97,2.95,2,Low,0.25823891294772156
Invesco India Dynamic Equity Fund,Invesco Mutual Fund,Amit Ganatra,500,1000,0.95,612.0,10,Hybrid,Dynamic Asset Allocation or Balanced Advantage,2,7.4,1.27,2.84,6,High,0.28984669257576695
Invesco India Equity & Bond Fund,Invesco Mutual Fund,Dhimant Kothari,500,1000,0.76,378.0,5,Hybrid,Aggressive Hybrid Mutual Funds,2,17.4,1.29,2.71,6,High,0.31250832600763445
Invesco India Equity Savings Fund,Invesco Mutual Fund,Dhimant Kothari,500,1000,0.73,132.0,4,Hybrid,Equity Savings Mutual Funds,2,9.6,1.08,1.9,4,Medium,0.2487084505360165
Invesco India Financial Services Fund,Invesco Mutual Fund,Hiten Jain,100,1000,1.08,472.0,10,Equity,Sectoral / Thematic Mutual Funds,3,10.9,1.0,2.16,6,High,0.3258921553884309
Invesco India Gilt Fund,Invesco Mutual Fund,Vikas Garg,100,1000,0.48,22.0,10,Debt,Gilt Mutual Funds,1,6.7,0.06,0.08,2,Low,0.17985124344755807
Invesco India Gold Fund,Invesco Mutual Fund,Krishna Cheemalapati,500,1000,0.16,59.0,10,Other,FoFs Domestic,4,13.2,0.51,1.22,5,High,0.36432105739971254
Invesco India Growth Opportunities Fund,Invesco Mutual Fund,Amit Ganatra,100,1000,0.66,3665.0,10,Equity,Large & Mid Cap Funds,3,11.0,1.3,2.85,6,High,0.3626664999070333
Invesco India Infrastructure Fund,Invesco Mutual Fund,Amit Nigam,500,1000,1.08,445.0,10,Equity,Sectoral / Thematic Mutual Funds,5,14.6,1.59,3.6,6,High,0.457384852363753
Invesco India Largecap Fund,Invesco Mutual Fund,Amit Nigam,100,1000,0.81,724.0,10,Equity,Large Cap Mutual Funds,4,11.1,1.28,2.62,6,High,0.38923375645051933
Invesco India Liquid Fund,Invesco Mutual Fund,Krishna Cheemalapati,500,1000,0.15,6434.0,10,Debt,Liquid Mutual Funds,3,5.3,0.83,4.13,2,Low,0.3432205450005303
Invesco India Medium Duration Fund,Invesco Mutual Fund,Vikas Garg,1000,1000,0.4,306.0,2,Debt,Medium Duration Funds,2,3.5,1.29,2.87,3,Medium,0.22553684563039783
Invesco India Midcap Fund,Invesco Mutual Fund,Pranav Gokhale,500,1000,0.72,2618.0,10,Equity,Mid Cap Mutual Funds,3,14.6,1.56,3.31,6,High,0.3909200385336188
Invesco India Money Market Fund,Invesco Mutual Fund,Krishna Cheemalapati,1000,1000,0.22,2294.0,10,Debt,Money Market Funds,2,5.8,1.14,1.82,2,Low,0.2932338320143984
Invesco India Multicap Fund,Invesco Mutual Fund,Pranav Gokhale,500,1000,0.65,2347.0,10,Equity,Multi Cap Funds,0,11.0,1.43,2.86,6,High,0.24446095546358626
Invesco India Overnight Fund,Invesco Mutual Fund,Krishna Cheemalapati,100,1000,0.09,337.0,3,Debt,Overnight Mutual Funds,3,3.8,-0.06,-0.3,1,Low,0.21597554891352555
Invesco India PSU Equity Fund,Invesco Mutual Fund,Dhimant Kothari,500,1000,0.96,394.0,10,Equity,Sectoral / Thematic Mutual Funds,0,12.6,1.19,2.73,6,High,0.22815055026277317
Invesco India Short Term Fund,Invesco Mutual Fund,Vikas Garg,1000,1000,0.35,350.0,10,Debt,Short Duration Funds,2,6.8,0.76,1.31,2,Low,0.269006545524021
Invesco India Smallcap Fund,Invesco Mutual Fund,Taher Badshah,500,1000,0.78,1400.0,4,Equity,Small Cap Mutual Funds,3,34.6,1.7,3.38,6,High,0.46084788134359966
Invesco India Tax Plan – Direct Growth,Invesco Mutual Fund,Amit Nigam,500,500,0.92,1833.0,10,Equity,ELSS Mutual Funds,3,10.8,1.19,2.21,6,High,0.3442056654770535
Invesco India Treasury Advantage Fund,Invesco Mutual Fund,Krishna Cheemalapati,100,1000,0.32,1230.0,10,Debt,Low Duration Funds,2,6.4,1.34,2.9,2,Low,0.305899648924851
Invesco India Ultra Short Term Fund,Invesco Mutual Fund,Krishna Cheemalapati,1000,1000,0.24,818.0,10,Debt,Ultra Short Duration Funds,3,6.0,1.59,3.4,2,Low,0.3555084833535795
ITI Arbitrage Fund,ITI Mutual Fund,Vikrant Mehta,500,5000,0.22,7.04,4,Hybrid,Arbitrage Mutual Funds,1,3.3,-0.71,-1.02,1,Low,0.090284831747704
ITI Balanced Advantage Fund,ITI Mutual Fund,Dhimant Shah,500,5000,0.35,452.0,3,Hybrid,Dynamic Asset Allocation or Balanced Advantage,1,12.3,0.88,2.56,6,High,0.22624352648624355
ITI Banking & PSU Debt Fund,ITI Mutual Fund,Vikrant Mehta,500,5000,0.15,27.0,2,Debt,Banking and PSU Mutual Funds,5,5.4,1.29,2.87,2,Low,0.3482592967836393
ITI Dynamic Bond Fund,ITI Mutual Fund,Vikrant Mehta,500,5000,0.14,57.0,2,Debt,Dynamic Bond,5,5.7,1.29,2.87,2,Low,0.3538031135675971
